,Year,Bird_Pop_Index,Fungicides_and_Bactericides,Herbicides,Insecticides,Other_Pesticides_nes,Pesticides_total,Rodenticides
0,1990,13324054289.194021,22680.0,206384.36,86182.48,73935.5,400522.34,11340.0
1,1991,13691602785.266397,21319.0,199580.48,88904.03,73935.5,395079.01,11340.0
2,1992,13444447047.798311,20412.0,204116.4,92079.18,73935.5,401883.08,11340.0
3,1993,14118205815.722479,21319.0,192776.6,91171.99,73935.5,390543.09,11340.0
4,1994,14523699883.025,21772.0,219992.12,98883.06,73935.5,425922.68,11340.0
5,1995,15306642892.34453,22226.0,209105.91,104326.16,76203.46,423201.53,11340.0
6,1996,16294187238.060062,23133.19,218177.75,111583.63,68945.99,433180.36,11339.8
7,1997,15961433646.900768,24040.0,213188.24,100697.42,82553.74,431819.21,11339.8
8,1998,16437862052.64963,24493.97,210920.28,81646.56,96161.5,424562.11,11339.8
9,1999,17714533498.23908,20411.64,194137.38,94347.14,113398.0,433633.96,11339.8
10,2000,18119081960.087425,19958.05,195951.74,100243.83,102511.79,430005.21,11339.8
11,2001,19516029153.443733,19050.86,196405.34,79378.6,105233.34,411407.94,11339.8
12,2002,19270822738.810112,18143.68,189147.86,90264.81,104416.88,413313.03,11339.8
13,2003,19896083886.545685,19504.46,193230.19,79378.6,103600.41,407053.46,11339.8
14,2004,20511417821.064495,19504.46,192776.6,91625.58,102783.95,418030.39,11339.8
15,2005,19795498275.56735,22680.0,190508.64,83234.13,101967.48,409730.05,11339.8
16,2006,22173160845.88025,20865.23,184611.94,74842.68,101151.02,392810.67,11339.8
17,2007,24030089536.13446,21318.82,200034.07,78471.42,88904.03,400068.15,11339.8
18,2008,27325256652.70501,21092.01,205250.39,70760.36,76430.26,379202.92,5669.9
19,2009,32357250923.774555,20865.2,210466.7,63049.3,63956.5,358337.7,0.0
20,2010,35593488112.87838,21923.6,225586.43,63956.47,63351.7,374818.2,0.0
21,2011,43142906039.554474,22982.0,240706.17,64863.63,62746.9,391298.7,0.0
22,2012,54054114002.43854,24040.4,255825.9,65770.8,62142.1,407779.2,0.0
23,2013,65334970513.4737,24682.69,262660.85,67528.01,63802.36,418673.92,0.0
24,2014,72027499019.52666,24356.14,259185.8,66634.6,62958.25,413134.78,0.0
25,2015,98315124319.82051,24965.73,265672.83,68302.37,64534.0,423474.93,0.0
26,2016,108170488826.33237,26627.77,283359.41,72849.45,68830.2,451666.83,0.0
27,2017,1737936313.1182046,26512.59,282133.68,72534.32,68532.46,449713.05,0.0
28,2018,7192.251254924138,26964.91,286947.05,73771.8,69701.67,457385.42,0.0
29,2019,8462.815838221435,15869.08,430546.72,8237.46,41019.4,495672.67,0.0
30,2020,8188.979041243647,15608.83,410430.01,7926.35,40742.3,474707.49,0.0
